name,rating,description,website_url,formatted_address,latitude,longitude,price_level
al Badawi,4.7,Middle Eastern specialties are offered in this down-to-earth restaurant with a terrace.,http://www.albadawinyc.com/,"151 Atlantic Ave, Brooklyn, NY 11201, USA",40.6906407,-73.99500259999999,PRICE_LEVEL_MODERATE
Alamo Drafthouse Cinema Brooklyn,4.5,Stylish theater chain for new & classic films features cocktails & creative bites served seat-side.,https://drafthouse.com/nyc/theater/downtown-brooklyn,"445 Albee Square W 4th floor, Brooklyn, NY 11201, USA",40.6911804,-73.98315560000002,
Alamo Drafthouse Cinema Lower Manhattan,4.4,Stylish theater chain for new & classic films features cocktails & creative bites served seat-side.,https://drafthouse.com/nyc/theater/lower-manhattan,"28 Liberty St Suite SC301, New York, NY 10005, USA",40.7077585,-74.00885029999999,
Ali's Trinbago Roti Shop,4.4,"Pint-sized, takeout-style Caribbean eatery offering traditional island fare.",https://alistrinbagorotishop.com/,"1267 Fulton St, Brooklyn, NY 11216, USA",40.6805724,-73.95065199999999,PRICE_LEVEL_INEXPENSIVE
American Brass,4.4,"An eclectic menu highlighting local purveyors is served in a sprawling, upscale setting.",https://www.americanbrasslic.com/?y_source=1_MjYwOTc0MTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"2-01 50th Ave, Long Island City, NY 11101, USA",40.74408390000001,-73.95843339999999,PRICE_LEVEL_MODERATE
Amy Ruth's,4.3,Chicken & waffles are among the classics served to locals & sightseers at this down-home restaurant.,http://amyruths.com/,"113 W 116th St, New York, NY 10026, USA",40.8025958,-73.9501971,PRICE_LEVEL_MODERATE
Anable Basin Sailing Bar & Grill,4.6,"This unpretentious, compact waterside joint offers a simple menu of burgers, hot dogs & beer.",https://anablebasin.com/,"4-40 44th Dr, Long Island City, NY 11101, USA",40.7494609,-73.9556911,PRICE_LEVEL_INEXPENSIVE
Angel,4.7,Compact eatery specializing in vegetarian North Indian dishes and street food staples.,https://www.angelindianrestaurant.com/,"75-18 37th Ave, Jackson Heights, NY 11372, USA",40.7490108,-73.8903469,PRICE_LEVEL_INEXPENSIVE
Angel of Harlem,4.3,"Roomy, funky joint with big booths, a central bar, and patio for Caribbean food and cocktails.",http://www.angelofharlemnyc.com/,"2272 Frederick Douglass Blvd, New York, NY 10027, USA",40.8080332,-73.95242499999999,PRICE_LEVEL_MODERATE
Asian Jewels,4.2,"Bustling venue serving a standard selection of dim sum in a large, traditionally decorated space.",http://www.asianjewelsny.com/,"133-30 39th Ave, Flushing, NY 11354, USA",40.7591397,-73.8333631,PRICE_LEVEL_MODERATE
Au Cheval,4.7,"Restaurant featuring leather booths and a zinc bar, serving creative American fare.",https://www.auchevaldiner.com/nyc/home,"33 Cortlandt Alley, New York, NY 10013, USA",40.7181205,-74.00179419999999,PRICE_LEVEL_EXPENSIVE
Baby's All Right,4.4,"Cool haunt offering live music most nights, plus gourmet bar fare, creative drinks & weekend brunch.",http://babysallright.com/,"146 Broadway, Brooklyn, NY 11211, USA",40.7101278,-73.9634861,
Bahari Estiatorio,4.5,"Vibrant, bustling Greek restaurant cooking an authentic menu of Hellenic standards.",http://www.bahariestiatorio.com/,"31-14 Broadway, Astoria, NY 11106, USA",40.7616348,-73.924942,PRICE_LEVEL_MODERATE
Bakhter Halal Kabab Afghan,4.1,"Independently owned counter-serve resource for halal Afghan entrees, kebabs, gyros & sandwiches.",,"68-16 Fresh Meadow Ln, Fresh Meadows, NY 11365, USA",40.733245,-73.794687,PRICE_LEVEL_INEXPENSIVE
Balthazar,4.4,"Iconic French brasserie with steak frites, brunch & pastries in a classy space with red banquettes.",http://www.balthazarny.com/,"80 Spring St, New York, NY 10012, USA",40.722668,-73.99822979999999,PRICE_LEVEL_EXPENSIVE
Bar Camillo,4.5,"Intimate eatery with a backyard serving pinsa, Roman-style pizza, plus Roman antipasti & Negronis.",http://www.barcamillo.com/,"333 Tompkins Ave, Brooklyn, NY 11216, USA",40.6865478,-73.94435279999999,PRICE_LEVEL_MODERATE
Barney Greengrass,4.4,"Jewish deli institution since 1908, known for smoked fish & not taking credit cards.",http://barneygreengrass.com/,"541 Amsterdam Ave, New York, NY 10024, USA",40.7879654,-73.9745734,PRICE_LEVEL_EXPENSIVE
BCD Tofu House,4.3,"Casual Korean restaurant chain serving classic fare such as soft tofu soup, bibimbap & bulgogi.",https://www.bcdtofuhouse.com/,"5 W 32nd St, New York, NY 10001, USA",40.747547,-73.9860578,PRICE_LEVEL_MODERATE
Bel Aire Diner,4.2,"Large, classic Greek diner with a massive menu, chrome accents & 24/7 opening hours.",https://belairediner.nyc/?utm_source=google,"31-91 21st St, Astoria, NY 11106, USA",40.7652923,-73.93128010000001,PRICE_LEVEL_MODERATE
Berry Park,4.2,A European beer list & an expansive rooftop are the draws at this German-accented barroom.,http://berryparkbk.com/,"4 Berry St, Brooklyn, NY 11211, USA",40.7224498,-73.9552011,PRICE_LEVEL_MODERATE
Beso,4.5,"Cozy Spanish restaurant serving tapas, entrees & sangria in a relaxed brick-walled space.",http://www.besonyc.com/,"70 Bay St, Staten Island, NY 10301, USA",40.64023410000001,-74.07583319999999,PRICE_LEVEL_MODERATE
Best Bagel & Coffee,4.6,"Straightforward, neighborhood outpost for grab-&-go bagels, sandwiches & java drinks.",http://www.bestbagelandcoffee.com/,"225 W 35th St A, New York, NY 10001, USA",40.7522252,-73.99110990000001,PRICE_LEVEL_INEXPENSIVE
Billy's Sports Bar,4.2,"Baseball fans grab brews, burgers & sandwiches before & after games at nearby Yankee Stadium.",http://billysbar.net/,"856 River Ave, Bronx, NY 10451, USA",40.8272043,-73.9259247,PRICE_LEVEL_MODERATE
Birdland Jazz Club,4.7,"Classic Theater District jazz club with roomy red environs, a large bar & Cajun-influenced food.",https://www.birdlandjazz.com/,"315 W 44th St, New York, NY 10036, USA",40.7590889,-73.9897175,PRICE_LEVEL_EXPENSIVE
Birds of a Feather,4.4,"Spicy Sichuan noodles, dim sum, and large plates to share are offered in a casual setting.",http://birdsofafeatherny.com/,"191 Grand St, Brooklyn, NY 11211, USA",40.7143448,-73.9605077,PRICE_LEVEL_MODERATE
Birria-Landia,4.8,"Bustling food truck fixing up tacos, tostadas, and quesadillas, plus consome.",https://birrialandia.com/,"491 Metropolitan Ave, Brooklyn, NY 11211, USA",40.7142781,-73.9525014,PRICE_LEVEL_INEXPENSIVE
Birria-Landia,4.7,"Food truck dishing up a small menu of tacos, soup, tostadas, and quesadillas.",https://birrialandia.com/,"77-05 Roosevelt Ave, Jackson Heights, NY 11372, USA",40.7472118,-73.8885257,PRICE_LEVEL_INEXPENSIVE
Bk Backyard Bar,4.4,"Buzzing alfresco hangout whipping up burgers & finger foods, plus cocktails & draft beer.",https://www.bkbackyard.com/,"151 Banker St, Brooklyn, NY 11222, USA",40.7239288,-73.9547618,
BKLYN BLEND,4.7,"Juices, shakes & elevated sandwiches offered in a chill, rustic-chic space with Wi-Fi.",http://www.bklynblend.com/,"194 Tompkins Ave, Brooklyn, NY 11206, USA",40.6923485,-73.9458874,PRICE_LEVEL_MODERATE
Blend on the Water,4.2,"Modern restaurant & lounge featuring cocktails, gourmet Latin-inspired eats & expansive water views.",http://www.blendonthewater.com/,"45-40 Center Blvd, Long Island City, NY 11109, USA",40.7482444,-73.9568889,PRICE_LEVEL_MODERATE
Blue Bay Diner,4.2,"Old-school diner serves hefty portions of breakfast fare, burgers & made-from-scratch desserts.",https://www.bluebay1.com/,"58-50 Francis Lewis Blvd, Flushing, NY 11365, USA",40.7439769,-73.7763058,PRICE_LEVEL_MODERATE
Blue Note,4.2,Legendary jazz musicians take the stage at this intimate club that also serves American eats.,https://www.bluenotejazz.com/nyc/,"131 W 3rd St, New York, NY 10012, USA",40.7309083,-74.0006557,PRICE_LEVEL_EXPENSIVE
BO's Bagels,4.4,"Place for handmade bagels, spreads & deli items by a couple who began their business as a stand.",http://www.bosbagels.com/,"235 W 116th St, New York, NY 10026, USA",40.804197,-73.954091,PRICE_LEVEL_INEXPENSIVE
Boutros,4.6,American & Middle Eastern cooking styles meld at this modern spot with old- and new-world wines.,http://boutrosbk.com/,"185 Atlantic Ave, Brooklyn, NY 11201, USA",40.6901694,-73.9934583,PRICE_LEVEL_MODERATE
Broadway Bagel,4.5,"Corner storefront offering hand-rolled bagels, pancakes & specialty sandwiches morning to night.",http://broadwaybagelscafe.com/,"2658 Broadway, New York, NY 10025, USA",40.7976617,-73.96929089999999,PRICE_LEVEL_INEXPENSIVE
Brooklyn Bowl,4.5,"Genre-defying bowling alley in Williamsburg with high-tech lanes, live tunes & food by Blue Ribbon.",http://www.brooklynbowl.com/brooklyn,"61 Wythe Ave, Brooklyn, NY 11249, USA",40.7218874,-73.9573813,PRICE_LEVEL_MODERATE
Bua Thai Ramen & Robata Grill,4.8,Classic Thai cuisine and cocktails served in a brick-lined space with weathered woods and a stylish bar.,http://buathairamennyc.com/?y_source=1_MTI4OTk2NTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"1611 2nd Ave, New York, NY 10028, USA",40.7763615,-73.9530785,PRICE_LEVEL_MODERATE
Bubby's,4.4,Weekend brunch hot spot serving homestyle American eats with many locally sourced ingredients.,https://www.bubbys.com/,"120 Hudson St, New York, NY 10013, USA",40.719819,-74.0083829,PRICE_LEVEL_MODERATE
Buddakan,4.4,"Huge, lavishly decorated restaurant offering a menu of Asian dishes & cocktails.",https://www.buddakannyc.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,"75 9th Ave, New York, NY 10011, USA",40.7422143,-74.0046814,PRICE_LEVEL_EXPENSIVE
Burger King,3.5,"Well-known fast-food chain serving grilled burgers, fries & shakes.",https://burgerking.com/store-locator/store/27507,"231 Bay St, Staten Island, NY 10301, USA",40.636497,-74.07556199999999,PRICE_LEVEL_INEXPENSIVE
